impl,dim,batch_size,seq_len,n_layers,n_heads,compile_s,exec_s,total_s,peak_gpu_MB,gpu_util,status
eager,1024,16,200,10,4,0.0000,0.9010,0.9010,1045.5,52.6,success
eager,2048,16,200,10,4,0.0000,1.4244,1.4244,3016.7,75.4,success
eager,128,16,200,12,4,0.0000,0.8988,0.8988,93.7,23.2,success
eager,256,16,200,12,4,0.0000,0.9357,0.9357,191.5,30.3,success
eager,512,16,200,12,4,0.0000,0.9459,0.9459,447.8,36.8,success
eager,1024,16,200,12,4,0.0000,1.0114,1.0114,1199.5,56.3,success
eager,2048,16,200,12,4,0.0000,1.6229,1.6229,3512.8,78.6,success
eager,128,16,400,4,4,0.0000,0.7609,0.7609,75.1,22.8,success
eager,256,16,400,4,4,0.0000,0.7663,0.7663,143.8,24.7,success
eager,512,16,400,4,4,0.0000,0.7985,0.7985,300.3,32.4,success
eager,1024,16,400,4,4,0.0000,0.9430,0.9430,704.5,53.5,success
eager,2048,16,400,4,4,0.0000,1.5024,1.5024,1746.6,74.6,success
eager,128,16,400,6,4,0.0000,0.9456,0.9456,89.0,27.3,success
eager,256,16,400,6,4,0.0000,0.9948,0.9948,175.3,30.7,success
eager,512,16,400,6,4,0.0000,0.9935,0.9935,376.4,41.6,success
eager,1024,16,400,6,4,0.0000,1.2046,1.2046,912.4,63.6,success
eager,2048,16,400,6,4,0.0000,2.0278,2.0278,2338.6,80.8,success
eager,128,16,400,8,4,0.0000,1.1768,1.1768,104.0,27.8,success
eager,256,16,400,8,4,0.0000,1.2026,1.2026,206.8,33.3,success
eager,512,16,400,8,4,0.0000,1.1994,1.1994,452.4,46.8,success
eager,1024,16,400,8,4,0.0000,1.4675,1.4675,1120.4,75.4,success
eager,2048,16,400,8,4,0.0000,2.5169,2.5169,2930.7,84.9,success
eager,128,16,400,10,4,0.0000,1.3478,1.3478,118.6,32.4,success
eager,256,16,400,10,4,0.0000,1.3616,1.3616,238.3,37.1,success
eager,512,16,400,10,4,0.0000,1.4148,1.4148,528.4,52.8,success
eager,1024,16,400,10,4,0.0000,1.7258,1.7258,1328.5,73.9,success
eager,2048,16,400,10,4,0.0000,3.0489,3.0489,3522.7,87.6,success
eager,128,16,400,12,4,0.0000,1.5577,1.5577,132.5,31.8,success
eager,256,16,400,12,4,0.0000,1.5637,1.5637,269.8,38.8,success
eager,512,16,400,12,4,0.0000,1.6301,1.6301,604.4,54.1,success
eager,1024,16,400,12,4,0.0000,1.9536,1.9536,1536.4,79.4,success
eager,2048,16,400,12,4,0.0000,3.5659,3.5659,4114.7,89.8,success
eager,128,16,800,4,4,0.0000,1.2577,1.2577,102.9,35.1,success
eager,256,16,800,4,4,0.0000,1.2613,1.2613,200.4,41.4,success
eager,512,16,800,4,4,0.0000,1.4107,1.4107,421.4,57.6,success
eager,1024,16,800,4,4,0.0000,1.9671,1.9671,922.8,78.8,success
eager,2048,16,800,4,4,0.0000,3.4800,3.4800,2198.3,88.1,success
eager,128,16,800,6,4,0.0000,1.6540,1.6540,129.9,37.5,success
eager,256,16,800,6,4,0.0000,1.6631,1.6631,256.9,45.8,success
eager,512,16,800,6,4,0.0000,1.8480,1.8480,551.4,65.9,success
eager,1024,16,800,6,4,0.0000,2.6744,2.6744,1226.4,82.6,success
eager,2048,16,800,6,4,0.0000,4.8887,4.8887,2990.4,91.6,success
eager,128,16,800,8,4,0.0000,2.0723,2.0723,156.9,37.5,success
eager,256,16,800,8,4,0.0000,2.0833,2.0833,313.4,50.3,success
eager,512,16,800,8,4,0.0000,2.2862,2.2862,681.4,69.5,success
eager,1024,16,800,8,4,0.0000,3.3312,3.3312,1530.4,85.6,success
eager,2048,16,800,8,4,0.0000,6.2964,6.2964,3782.4,94.0,success
eager,128,16,800,10,4,0.0000,2.4346,2.4346,183.9,39.4,success
eager,256,16,800,10,4,0.0000,2.5111,2.5111,369.9,51.9,success
eager,512,16,800,10,4,0.0000,2.7501,2.7501,811.4,71.8,success
eager,1024,16,800,10,4,0.0000,4.0012,4.0012,1834.9,90.3,success
eager,2048,16,800,10,4,0.0000,7.6749,7.6749,4574.4,94.9,success
eager,128,16,800,12,4,0.0000,2.8595,2.8595,210.9,40.7,success
eager,256,16,800,12,4,0.0000,2.8787,2.8787,426.4,52.9,success
eager,512,16,800,12,4,0.0000,3.2353,3.2353,941.4,74.3,success
eager,1024,16,800,12,4,0.0000,4.7089,4.7089,2138.4,89.4,success
eager,2048,16,800,12,4,0.0000,9.0838,9.0838,5366.5,95.7,success
eager,128,16,1600,4,4,0.0000,2.2362,2.2362,159.6,45.5,success
